application_name,original_area,original_freq,original_latency,original_cycles,minA_1.0x_variant,minA_1.0x_area_norm,minA_1.0x_cycle_norm,minA_1.0x_freq,minA_1.0x_freq_norm,minA_1.0x_latency_norm,minA_1.0x_power_norm,minA_1.0x_energy_norm,minE_1.0x_variant,minE_1.0x_area_norm,minE_1.0x_cycle_norm,minE_1.0x_freq,minE_1.0x_freq_norm,minE_1.0x_latency_norm,minE_1.0x_power_norm,minE_1.0x_energy_norm,minA_1.2x_variant,minA_1.2x_area_norm,minA_1.2x_cycle_norm,minA_1.2x_freq,minA_1.2x_freq_norm,minA_1.2x_latency_norm,minA_1.2x_power_norm,minA_1.2x_energy_norm,minE_1.2x_variant,minE_1.2x_area_norm,minE_1.2x_cycle_norm,minE_1.2x_freq,minE_1.2x_freq_norm,minE_1.2x_latency_norm,minE_1.2x_power_norm,minE_1.2x_energy_norm,minA_1.5x_variant,minA_1.5x_area_norm,minA_1.5x_cycle_norm,minA_1.5x_freq,minA_1.5x_freq_norm,minA_1.5x_latency_norm,minA_1.5x_power_norm,minA_1.5x_energy_norm,minE_1.5x_variant,minE_1.5x_area_norm,minE_1.5x_cycle_norm,minE_1.5x_freq,minE_1.5x_freq_norm,minE_1.5x_latency_norm,minE_1.5x_power_norm,minE_1.5x_energy_norm,minA_2.0x_variant,minA_2.0x_area_norm,minA_2.0x_cycle_norm,minA_2.0x_freq,minA_2.0x_freq_norm,minA_2.0x_latency_norm,minA_2.0x_power_norm,minA_2.0x_energy_norm,minE_2.0x_variant,minE_2.0x_area_norm,minE_2.0x_cycle_norm,minE_2.0x_freq,minE_2.0x_freq_norm,minE_2.0x_latency_norm,minE_2.0x_power_norm,minE_2.0x_energy_norm,minA_unconstrained_variant,minA_unconstrained_area_norm,minA_unconstrained_cycle_norm,minA_unconstrained_freq,minA_unconstrained_freq_norm,minA_unconstrained_latency_norm,minA_unconstrained_power_norm,minA_unconstrained_energy_norm,minE_unconstrained_variant,minE_unconstrained_area_norm,minE_unconstrained_cycle_norm,minE_unconstrained_freq,minE_unconstrained_freq_norm,minE_unconstrained_latency_norm,minE_unconstrained_power_norm,minE_unconstrained_energy_norm
basicmath_small_O3,126625.1936,20.72,0.48252968146718145,9998014.999999998,10_uarchaware,0.9704751835419898,1.000000400079416,21.31,1.0284749034749034,0.9723138568580714,0.9708527438562738,0.9439735758201349,25_baseline,0.9938045314862208,1.0000000000000002,21.86,1.055019305019305,0.947849954254346,0.9943731036289805,0.9425165007864812,10_uarchaware,0.9704751835419898,1.000000400079416,21.31,1.0284749034749034,0.9723138568580714,0.9708527438562738,0.9439735758201349,25_baseline,0.9938045314862208,1.0000000000000002,21.86,1.055019305019305,0.947849954254346,0.9943731036289805,0.9425165007864812,10_uarchaware,0.9704751835419898,1.000000400079416,21.31,1.0284749034749034,0.9723138568580714,0.9708527438562738,0.9439735758201349,25_baseline,0.9938045314862208,1.0000000000000002,21.86,1.055019305019305,0.947849954254346,0.9943731036289805,0.9425165007864812,10_uarchaware,0.9704751835419898,1.000000400079416,21.31,1.0284749034749034,0.9723138568580714,0.9708527438562738,0.9439735758201349,25_baseline,0.9938045314862208,1.0000000000000002,21.86,1.055019305019305,0.947849954254346,0.9943731036289805,0.9425165007864812,0_baseline,0.7033289526990306,291.5101941735435,26.05,1.2572393822393824,231.86530607584723,0.7063814801661875,163.7853581050431,25_baseline,0.9938045314862208,1.0000000000000002,21.86,1.055019305019305,0.947849954254346,0.9943731036289805,0.9425165007864812
bitcnts_O3,111679.6096,23.03,1.521895657837603,35049257.0,10_uarchaware,0.7783728069192677,1.0015946415069512,27.32,1.1862787668258792,0.8443164199818847,0.7806991222963146,0.6591570880202239,10_uarchaware,0.7783728069192677,1.0015946415069512,27.32,1.1862787668258792,0.8443164199818847,0.7806991222963146,0.6591570880202239,10_uarchaware,0.7783728069192677,1.0015946415069512,27.32,1.1862787668258792,0.8443164199818847,0.7806991222963146,0.6591570880202239,10_uarchaware,0.7783728069192677,1.0015946415069512,27.32,1.1862787668258792,0.8443164199818847,0.7806991222963146,0.6591570880202239,10_uarchaware,0.7783728069192677,1.0015946415069512,27.32,1.1862787668258792,0.8443164199818847,0.7806991222963146,0.6591570880202239,10_uarchaware,0.7783728069192677,1.0015946415069512,27.32,1.1862787668258792,0.8443164199818847,0.7806991222963146,0.6591570880202239,10_uarchaware,0.7783728069192677,1.0015946415069512,27.32,1.1862787668258792,0.8443164199818847,0.7806991222963146,0.6591570880202239,10_uarchaware,0.7783728069192677,1.0015946415069512,27.32,1.1862787668258792,0.8443164199818847,0.7806991222963146,0.6591570880202239,10_uarchaware,0.7783728069192677,1.0015946415069512,27.32,1.1862787668258792,0.8443164199818847,0.7806991222963146,0.6591570880202239,10_uarchaware,0.7783728069192677,1.0015946415069512,27.32,1.1862787668258792,0.8443164199818847,0.7806991222963146,0.6591570880202239
combined,118561.2096,22.93,0.09490505887483645,2176173.0,18_uarchaware,0.9736275565123789,1.0000032166560286,24.43,1.0654164849542085,0.9386031010201693,0.9743581282231956,0.9145355606544991,18_uarchaware,0.9736275565123789,1.0000032166560286,24.43,1.0654164849542085,0.9386031010201693,0.9743581282231956,0.9145355606544991,12_uarchaware,0.9162814749150467,1.2082587184015243,24.19,1.054949847361535,1.145323373829969,0.9170793663377802,1.0503524339238366,18_uarchaware,0.9736275565123789,1.0000032166560286,24.43,1.0654164849542085,0.9386031010201693,0.9743581282231956,0.9145355606544991,10_uarchaware,0.9150361974714536,1.264320897281604,23.22,1.0126471870911469,1.2485304984783454,0.9154387183300832,1.1429531593230364,18_uarchaware,0.9736275565123789,1.0000032166560286,24.43,1.0654164849542085,0.9386031010201693,0.9743581282231956,0.9145355606544991,10_uarchaware,0.9150361974714536,1.264320897281604,23.22,1.0126471870911469,1.2485304984783454,0.9154387183300832,1.1429531593230364,18_uarchaware,0.9736275565123789,1.0000032166560286,24.43,1.0654164849542085,0.9386031010201693,0.9743581282231956,0.9145355606544991,1_baseline,0.7564005149960953,10.903143270319042,25.97,1.1325774095071959,9.626841555195057,0.7583229821166529,7.300255196500032,18_uarchaware,0.9736275565123789,1.0000032166560286,24.43,1.0654164849542085,0.9386031010201693,0.9743581282231956,0.9145355606544991
dijkstra_small_O3,117569.008,24.64,0.9951708603896103,24521010.0,24_uarchaware,0.9742244452721758,1.0,24.8,1.0064935064935066,0.9935483870967742,0.9743741830279903,0.9680878979761968,24_uarchaware,0.9742244452721758,1.0,24.8,1.0064935064935066,0.9935483870967742,0.9743741830279903,0.9680878979761968,11_uarchaware,0.9131485127441068,1.0549950838077224,23.09,0.9370941558441558,1.1258154553929096,0.9128453823675481,1.027695439853436,24_uarchaware,0.9742244452721758,1.0,24.8,1.0064935064935066,0.9935483870967742,0.9743741830279903,0.9680878979761968,11_uarchaware,0.9131485127441068,1.0549950838077224,23.09,0.9370941558441558,1.1258154553929096,0.9128453823675481,1.027695439853436,24_uarchaware,0.9742244452721758,1.0,24.8,1.0064935064935066,0.9935483870967742,0.9743741830279903,0.9680878979761968,11_uarchaware,0.9131485127441068,1.0549950838077224,23.09,0.9370941558441558,1.1258154553929096,0.9128453823675481,1.027695439853436,24_uarchaware,0.9742244452721758,1.0,24.8,1.0064935064935066,0.9935483870967742,0.9743741830279903,0.9680878979761968,0_baseline,0.7559303996168787,5.609022385293265,27.2,1.103896103896104,5.081114396089193,0.7576138734533883,3.8495227590809074,24_uarchaware,0.9742244452721758,1.0,24.8,1.0064935064935066,0.9935483870967742,0.9743741830279903,0.9680878979761968
libedn,109800.3072,23.15,0.1479715766738661,3425542.0,12_uarchaware,0.987590592096267,1.0012336733865763,23.66,1.0220302375809935,0.9796517133938817,0.9878504366170603,0.9677493728087972,24_uarchaware,0.988205934636948,0.9999999999999999,24.59,1.0622030237580995,0.941439609597397,0.9888623875822191,0.9309542201109543,12_uarchaware,0.987590592096267,1.0012336733865763,23.66,1.0220302375809935,0.9796517133938817,0.9878504366170603,0.9677493728087972,24_uarchaware,0.988205934636948,0.9999999999999999,24.59,1.0622030237580995,0.941439609597397,0.9888623875822191,0.9309542201109543,12_uarchaware,0.987590592096267,1.0012336733865763,23.66,1.0220302375809935,0.9796517133938817,0.9878504366170603,0.9677493728087972,24_uarchaware,0.988205934636948,0.9999999999999999,24.59,1.0622030237580995,0.941439609597397,0.9888623875822191,0.9309542201109543,12_uarchaware,0.987590592096267,1.0012336733865763,23.66,1.0220302375809935,0.9796517133938817,0.9878504366170603,0.9677493728087972,24_uarchaware,0.988205934636948,0.9999999999999999,24.59,1.0622030237580995,0.941439609597397,0.9888623875822191,0.9309542201109543,0_baseline,0.8144856192169198,58.22071923216822,26.66,1.1516198704103673,50.555500758615686,0.8164326814144764,41.275163044608206,24_uarchaware,0.988205934636948,0.9999999999999999,24.59,1.0622030237580995,0.941439609597397,0.9888623875822191,0.9309542201109543
libhuffbench,89366.96,27.07,0.08357240487624677,2262305.0,24_uarchaware,0.9717605880294015,1.0,27.89,1.0302918359807907,0.9705987809250627,0.9721519349382073,0.9435694829249649,24_uarchaware,0.9717605880294015,1.0,27.89,1.0302918359807907,0.9705987809250627,0.9721519349382073,0.9435694829249649,24_uarchaware,0.9717605880294015,1.0,27.89,1.0302918359807907,0.9705987809250627,0.9721519349382073,0.9435694829249649,24_uarchaware,0.9717605880294015,1.0,27.89,1.0302918359807907,0.9705987809250627,0.9721519349382073,0.9435694829249649,24_uarchaware,0.9717605880294015,1.0,27.89,1.0302918359807907,0.9705987809250627,0.9721519349382073,0.9435694829249649,24_uarchaware,0.9717605880294015,1.0,27.89,1.0302918359807907,0.9705987809250627,0.9721519349382073,0.9435694829249649,24_uarchaware,0.9717605880294015,1.0,27.89,1.0302918359807907,0.9705987809250627,0.9721519349382073,0.9435694829249649,24_uarchaware,0.9717605880294015,1.0,27.89,1.0302918359807907,0.9705987809250627,0.9721519349382073,0.9435694829249649,24_uarchaware,0.9717605880294015,1.0,27.89,1.0302918359807907,0.9705987809250627,0.9721519349382073,0.9435694829249649,24_uarchaware,0.9717605880294015,1.0,27.89,1.0302918359807907,0.9705987809250627,0.9721519349382073,0.9435694829249649
libnsichneu,89030.3872,27.68,0.0723444725433526,2002495.0000000002,21_uarchaware,0.9749564337511946,1.0000024968851358,28.17,1.0177023121387283,0.9826080622570308,0.9752139798998992,0.958253119075407,21_uarchaware,0.9749564337511946,1.0000024968851358,28.17,1.0177023121387283,0.9826080622570308,0.9752139798998992,0.958253119075407,21_uarchaware,0.9749564337511946,1.0000024968851358,28.17,1.0177023121387283,0.9826080622570308,0.9752139798998992,0.958253119075407,21_uarchaware,0.9749564337511946,1.0000024968851358,28.17,1.0177023121387283,0.9826080622570308,0.9752139798998992,0.958253119075407,21_uarchaware,0.9749564337511946,1.0000024968851358,28.17,1.0177023121387283,0.9826080622570308,0.9752139798998992,0.958253119075407,21_uarchaware,0.9749564337511946,1.0000024968851358,28.17,1.0177023121387283,0.9826080622570308,0.9752139798998992,0.958253119075407,21_uarchaware,0.9749564337511946,1.0000024968851358,28.17,1.0177023121387283,0.9826080622570308,0.9752139798998992,0.958253119075407,21_uarchaware,0.9749564337511946,1.0000024968851358,28.17,1.0177023121387283,0.9826080622570308,0.9752139798998992,0.958253119075407,21_uarchaware,0.9749564337511946,1.0000024968851358,28.17,1.0177023121387283,0.9826080622570308,0.9752139798998992,0.958253119075407,21_uarchaware,0.9749564337511946,1.0000024968851358,28.17,1.0177023121387283,0.9826080622570308,0.9752139798998992,0.958253119075407
libslre,89335.68,27.61,0.08800941687794278,2429940.0,24_uarchaware,0.974733893557423,1.0,27.83,1.0079681274900398,0.9920948616600791,0.9748964530300833,0.9671897617017823,15_uarchaware,0.9859663865546219,0.9999999999999998,28.36,1.0271640709887722,0.9735543018335682,0.986282264575515,0.9601993414996461,24_uarchaware,0.974733893557423,1.0,27.83,1.0079681274900398,0.9920948616600791,0.9748964530300833,0.9671897617017823,15_uarchaware,0.9859663865546219,0.9999999999999998,28.36,1.0271640709887722,0.9735543018335682,0.986282264575515,0.9601993414996461,24_uarchaware,0.974733893557423,1.0,27.83,1.0079681274900398,0.9920948616600791,0.9748964530300833,0.9671897617017823,15_uarchaware,0.9859663865546219,0.9999999999999998,28.36,1.0271640709887722,0.9735543018335682,0.986282264575515,0.9601993414996461,24_uarchaware,0.974733893557423,1.0,27.83,1.0079681274900398,0.9920948616600791,0.9748964530300833,0.9671897617017823,15_uarchaware,0.9859663865546219,0.9999999999999998,28.36,1.0271640709887722,0.9735543018335682,0.986282264575515,0.9601993414996461,24_uarchaware,0.974733893557423,1.0,27.83,1.0079681274900398,0.9920948616600791,0.9748964530300833,0.9671897617017823,15_uarchaware,0.9859663865546219,0.9999999999999998,28.36,1.0271640709887722,0.9735543018335682,0.986282264575515,0.9601993414996461
libstatemate,89716.0448,26.71,0.05440363159865219,1453121.0,10_baseline,0.9959137565547249,1.000008258087248,27.14,1.0160988393859978,0.9841643542192481,0.9960879272015564,0.9803142316199092,24_baseline,1.0011435903157426,1.0,27.69,1.0366903781355299,0.9646081617912603,1.001506961854453,0.9660617894955738,24_uarchaware,0.9756498940087025,1.0,26.67,0.9985024335454886,1.0014998125234345,0.975716328470141,0.9771797200389,24_baseline,1.0011435903157426,1.0,27.69,1.0366903781355299,0.9646081617912603,1.001506961854453,0.9660617894955738,24_uarchaware,0.9756498940087025,1.0,26.67,0.9985024335454886,1.0014998125234345,0.975716328470141,0.9771797200389,24_baseline,1.0011435903157426,1.0,27.69,1.0366903781355299,0.9646081617912603,1.001506961854453,0.9660617894955738,24_uarchaware,0.9756498940087025,1.0,26.67,0.9985024335454886,1.0014998125234345,0.975716328470141,0.9771797200389,24_baseline,1.0011435903157426,1.0,27.69,1.0366903781355299,0.9646081617912603,1.001506961854453,0.9660617894955738,24_uarchaware,0.9756498940087025,1.0,26.67,0.9985024335454886,1.0014998125234345,0.975716328470141,0.9771797200389,24_baseline,1.0011435903157426,1.0,27.69,1.0366903781355299,0.9646081617912603,1.001506961854453,0.9660617894955738
libud,122885.3568,20.64,0.039605668604651166,817461.0000000001,original,1.0,1.0,20.64,1.0,1.0,1.0,1.0,11_baseline,1.0030647361883234,1.0128801251680506,22.14,1.072674418604651,0.9442568104547682,1.0037827494398799,0.9478286973756187,12_baseline,0.9985439957643514,1.0000134562994443,20.48,0.9922480620155039,1.0078260614267838,0.9984714049776555,1.0062855035258977,11_baseline,1.0030647361883234,1.0128801251680506,22.14,1.072674418604651,0.9442568104547682,1.0037827494398799,0.9478286973756187,12_baseline,0.9985439957643514,1.0000134562994443,20.48,0.9922480620155039,1.0078260614267838,0.9984714049776555,1.0062855035258977,11_baseline,1.0030647361883234,1.0128801251680506,22.14,1.072674418604651,0.9442568104547682,1.0037827494398799,0.9478286973756187,12_baseline,0.9985439957643514,1.0000134562994443,20.48,0.9922480620155039,1.0078260614267838,0.9984714049776555,1.0062855035258977,11_baseline,1.0030647361883234,1.0128801251680506,22.14,1.072674418604651,0.9442568104547682,1.0037827494398799,0.9478286973756187,0_baseline,0.7259453845683915,68.65912502247812,27.17,1.316375968992248,52.15768643592008,0.7294446310129928,38.0461443367411,11_baseline,1.0030647361883234,1.0128801251680506,22.14,1.072674418604651,0.9442568104547682,1.0037827494398799,0.9478286973756187
