benchmark,variant_dir,scale,variant_num,status,cycles,instructions,wallclock_s
combined,variant_19,0.3,0,PASS,3549158,2182354,6.232
combined,variant_20,0.4,0,PASS,3549158,2182354,4.885
combined,variant_21,0.5,0,PASS,3549158,2182354,6.115
combined,variant_22,0.6,0,PASS,3549158,2182354,5.036
combined,variant_23,0.7,0,PASS,3549158,2182354,6.359
combined,variant_24,0.85,0,PASS,3549158,2182354,4.807
combined,variant_25,0.9,0,PASS,3549151,2182347,7.764
combined,variant_26,1,0,PASS,3549251,2182447,6.073
dijkstra_small_O3,variant_original,original,,PASS,34094761,24640247,56.706
dijkstra_small_O3,variant_gp,gp,,PASS,34094761,24640247,72.393
dijkstra_small_O3,variant_0,0,0,PASS,93649122,66176984,154.732
dijkstra_small_O3,variant_1,0.0001,0,PASS,35802877,26048720,59.165
dijkstra_small_O3,variant_2,0.0002,0,PASS,35802877,26048720,75.944
dijkstra_small_O3,variant_3,0.0005,0,PASS,35802877,26048720,76.104
dijkstra_small_O3,variant_4,0.001,0,PASS,35802877,26048720,59.668
dijkstra_small_O3,variant_5,0.0015,0,PASS,35802877,26048720,70.816
dijkstra_small_O3,variant_6,0.002,0,PASS,35742937,25988780,76.582
dijkstra_small_O3,variant_7,0.003,0,PASS,35742937,25988780,74.439
dijkstra_small_O3,variant_8,0.005,0,PASS,35742937,25988780,72.68
dijkstra_small_O3,variant_9,0.007,0,PASS,34094767,24640250,68.555
dijkstra_small_O3,variant_10,0.01,0,PASS,34094767,24640250,73.212
dijkstra_small_O3,variant_11,0.015,0,PASS,34094767,24640250,70.516
dijkstra_small_O3,variant_12,0.02,0,PASS,34094767,24640250,66.526
dijkstra_small_O3,variant_13,0.03,0,PASS,34094767,24640250,68.278
dijkstra_small_O3,variant_14,0.05,0,PASS,34094767,24640250,70.916
dijkstra_small_O3,variant_15,0.07,0,PASS,34094767,24640250,73.893
dijkstra_small_O3,variant_16,0.1,0,PASS,34094761,24640247,71.42
dijkstra_small_O3,variant_17,0.15,0,PASS,34094761,24640247,71.789
dijkstra_small_O3,variant_18,0.2,0,PASS,34094761,24640247,67.802
dijkstra_small_O3,variant_19,0.3,0,PASS,34094761,24640247,74.528
dijkstra_small_O3,variant_20,0.4,0,PASS,34094761,24640247,68.028
dijkstra_small_O3,variant_21,0.5,0,PASS,34094761,24640247,76.022
dijkstra_small_O3,variant_22,0.6,0,PASS,34094761,24640247,72.243
dijkstra_small_O3,variant_23,0.7,0,PASS,34094761,24640247,56.098
dijkstra_small_O3,variant_24,0.85,0,PASS,34094761,24640247,74.096
dijkstra_small_O3,variant_25,0.9,0,PASS,34094761,24640247,67.67
dijkstra_small_O3,variant_26,1,0,PASS,34094761,24640247,70.34
libedn,variant_original,original,,PASS,6259605,3426813,9.788
libedn,variant_gp,gp,,PASS,6259605,3426813,9.856
libedn,variant_0,0,0,PASS,155552833,127506156,301.718
libedn,variant_1,0.0001,0,PASS,6990981,4147134,10.89
libedn,variant_2,0.0002,0,PASS,6371420,3528997,13.276
libedn,variant_3,0.0005,0,PASS,6362220,3522597,12.919
libedn,variant_4,0.001,0,PASS,6362220,3522597,12.185
libedn,variant_5,0.0015,0,PASS,6362220,3522597,13.325
libedn,variant_6,0.002,0,PASS,6362220,3522597,12.556
libedn,variant_7,0.003,0,PASS,6362220,3522597,13.273
libedn,variant_8,0.005,0,PASS,6269644,3434245,13.545
