application_name,gp_area,gp_freq,gp_latency,gp_power,original_area,original_area_reduction_pct,original_freq,original_freq_improvement_pct,original_latency,original_latency_reduction_pct,original_power,original_power_reduction_pct,min_area_variant,min_area_value,min_area_reduction_pct,min_area_freq,min_area_freq_improvement_pct,min_area_latency,min_area_latency_reduction_pct,min_area_power,min_area_power_reduction_pct
basicmath_small_O3,126176.0128,22,0.4544552273,3.12,126625.1936,-0.35599539999999763,20.72,-5.818181820000001,0.4825296815,-6.177606200000008,3.12,0.0,0_uarchaware,89059.1648,29.41672286,26.05,18.409090900000002,111.8818923,-24518.90315,2.86,8.333333330000004
bitcnts_O3,126176.0128,22,1.593148045,3.12,111679.6096,11.489032570000003,23.03,4.681818199999999,1.521895658,4.472427270000001,2.95,5.448717950000004,10_uarchaware,86928.3712,31.105469829999997,27.32,24.181818200000006,1.284961493,19.34450178,2.83,4.067796609999997
combined,126176.0128,22,0.09891695455,3.12,118561.2096,6.0350640599999945,22.93,4.2272727000000065,0.09490505887,4.055822070000003,2.95,5.448717950000004,1_uarchaware,89679.76,28.924874060000004,25.97,18.04545449999999,0.9136359646,-823.6393991,2.89,2.033898310000004
dijkstra_small_O3,126176.0128,22,1.114591364,3.12,117569.008,6.821427150000003,24.64,12.00000000000001,0.9951708604,10.714285710000004,2.94,5.76923077,0_uarchaware,88873.9872,29.56348419,27.2,23.63636360000001,5.056576985,-353.67092820000005,2.86,2.721088439999997
libedn,126176.0128,22,0.1557064545,3.12,109800.3072,12.978461779999995,23.15,5.227272700000007,0.1479715767,4.967602589999998,2.95,5.448717950000004,0_uarchaware,89430.7712,29.122208559999997,26.66,21.181818200000002,7.480777157,-4704.410439,2.88,2.372881360000001
libhuffbench,126176.0128,22,0.1028320455,3.12,89366.96,29.172781719999996,27.07,23.045454499999995,0.08357240488,18.729220540000004,2.84,8.974358969999995,24_uarchaware,86843.2896,31.172900719999998,27.89,26.7727273,0.08111527429,21.11868053,2.83,0.3521126800000052
libnsichneu,126176.0128,22,0.0910225,3.12,89030.3872,29.43953036,27.68,25.818181799999994,0.07234447254,20.520231209999995,2.86,8.333333330000004,21_uarchaware,86800.7488,31.20661616,28.17,28.045454499999998,0.07108626198,21.902538400000005,2.83,1.048951050000002
libslre,126176.0128,22,0.1104518182,3.12,89335.68,29.197572490000002,27.61,25.49999999999999,0.08800941688,20.3187251,2.87,8.012820509999996,24_uarchaware,87078.5152,30.98647416,27.83,26.49999999999999,0.08731369026,20.9486166,2.85,0.696864109999995
libstatemate,126176.0128,22,0.06605095455,3.12,89716.0448,28.896116770000003,26.71,21.409090900000006,0.0544036316,17.633845000000004,2.86,8.333333330000004,24_uarchaware,87531.4496,30.627503869999995,26.67,21.2272727,0.05448522685,17.510311209999998,2.84,0.6993007000000051
libud,126176.0128,22,0.03715731818,3.12,122885.3568,2.607988579999998,20.64,-6.181818179999999,0.0396056686,-6.589147299999998,3.12,0.0,0_uarchaware,89208.0576,29.29871881,27.17,23.50000000000001,2.065740044,-5459.443322,2.86,8.333333330000004
libwikisort,126176.0128,22,0.033386,3.12,125985.8304,0.1507278599999995,21.81,-0.8636363599999974,0.03367684548,-0.8711600000000042,3.13,-0.3205128000000057,0_uarchaware,89311.9072,29.216413470000003,27.12,23.272727300000007,0.2691114676,-706.0608265000001,2.89,7.667731629999997
matmult-int,126176.0128,22,0.1362726364,3.12,118095.7632,6.403950660000001,23.85,8.409090899999994,0.1257022222,7.756813419999997,2.94,5.76923077,1_uarchaware,89276.8736,29.244179130000003,26.89,22.2272727,4.934069654,-3520.733983,2.85,3.061224490000003
