application_name,gp_area,gp_freq,gp_latency,original_area,original_freq,original_latency,original_area_norm,original_freq_norm,original_latency_norm,min_area_variant,min_area_value,min_area_freq,min_area_latency,min_area_norm,min_freq_norm,min_latency_norm
basicmath_small_O3,126176.0128,22.0,0.45445522727272725,126625.1936,20.72,0.48252968146718145,1.0035599539883384,0.9418181818181818,1.0617760617760619,0_uarchaware,89059.1648,26.05,111.8818922840691,0.7058327714093054,1.184090909090909,246.18903154771425
bitcnts_O3,126176.0128,22.0,1.5931480454545455,111679.6096,23.03,1.521895657837603,0.8851096743484986,1.0468181818181819,0.9552757273122015,10_uarchaware,86928.3712,27.32,1.2849614934114202,0.6889453016540399,1.241818181818182,0.8065549821798289
combined,126176.0128,22.0,0.09891695454545454,118561.2096,22.93,0.09490505887483645,0.9396493594066083,1.0422727272727272,0.9594417793283907,1_uarchaware,89679.76,25.97,0.913635964574509,0.7107512593709095,1.1804545454545454,9.236393991028837
dijkstra_small_O3,126176.0128,22.0,1.1145913636363636,117569.008,24.64,0.9951708603896103,0.9317857284518662,1.12,0.8928571428571429,0_uarchaware,88873.9872,27.2,5.056576985294118,0.7043651580659237,1.2363636363636363,4.536709282222494
libedn,126176.0128,22.0,0.15570645454545454,109800.3072,23.15,0.1479715766738661,0.8702153821744476,1.0522727272727272,0.9503239740820735,0_uarchaware,89430.7712,26.66,7.480777156789197,0.7087779144024434,1.211818181818182,48.044104392636946
libhuffbench,126176.0128,22.0,0.10283204545454545,89366.96,27.07,0.08357240487624677,0.7082721827773591,1.2304545454545455,0.8127077946065756,24_uarchaware,86843.2896,27.89,0.08111527429186088,0.6882709928205942,1.2677272727272728,0.7888131946934386
libnsichneu,126176.0128,22.0,0.0910225,89030.3872,27.68,0.0723444725433526,0.7056046963626988,1.258181818181818,0.7947976878612717,21_uarchaware,86800.7488,28.17,0.07108626198083066,0.6879338384038713,1.2804545454545455,0.7809746159557325
libslre,126176.0128,22.0,0.11045181818181818,89335.68,27.61,0.08800941687794278,0.708024275118004,1.255,0.7968127490039841,24_uarchaware,87078.5152,27.83,0.08731369026230687,0.6901352584189441,1.265,0.790513833992095
libstatemate,126176.0128,22.0,0.06605095454545455,89716.0448,26.71,0.05440363159865219,0.7110388322557614,1.214090909090909,0.8236615499812804,24_uarchaware,87531.4496,26.67,0.05448522684664417,0.6937249613264053,1.2122727272727274,0.8248968878890138
libud,126176.0128,22.0,0.03715731818181818,122885.3568,20.64,0.039605668604651166,0.9739201142358495,0.9381818181818182,1.0658914728682172,0_uarchaware,89208.0576,27.17,2.06574004416636,0.7070128118678355,1.235,55.594433216581486
libwikisort,126176.0128,22.0,0.033386,125985.8304,21.81,0.033676845483723065,0.9984927214311214,0.9913636363636363,1.0087116001834022,0_uarchaware,89311.9072,27.12,0.2691114675516224,0.7078358652968942,1.2327272727272727,8.060608265489199
matmult-int,126176.0128,22.0,0.13627263636363637,118095.7632,23.85,0.12570222222222222,0.9359604934354052,1.0840909090909092,0.9224318658280921,1_uarchaware,89276.8736,26.89,4.934069654146523,0.7075582087184167,1.2222727272727274,36.20733982852006
md5,126176.0128,22.0,0.08245536363636363,89336.9312,26.38,0.06876489764973465,0.7080341914243783,1.199090909090909,0.8339651250947688,15_uarchaware,89159.2608,27.96,0.06536269670958512,0.7066260759192416,1.270909090909091,0.7927040016200902
mont64,126176.0128,22.0,0.20427781818181817,110885.0976,22.39,0.20071960696739616,0.8788128198008806,1.0177272727272728,0.9825815096025011,0_uarchaware,89159.2608,27.03,1.766961487236404,0.7066260759192416,1.2286363636363637,8.649796159775477
patricia_O3,126176.0128,22.0,0.22794018181818182,123359.5616,20.9,0.23993703349282297,0.9776783943516719,0.95,1.0526315789473684,0_uarchaware,89405.7472,26.35,1.0093511954459202,0.7085795882749594,1.1977272727272728,4.428140696364965
picojpeg_test,126176.0128,22.0,0.17663618181818183,111242.9408,24.09,0.16131158156911582,0.8816488834239022,1.095,0.91324200913242,0_uarchaware,90023.84,27.54,1.708310167029775,0.713478243623815,1.2518181818181817,9.67134903758394
primecount,126176.0128,22.0,0.19533713636363637,111550.736,23.65,0.18170896405919662,0.8840882947919559,1.075,0.9302325581395349,0_uarchaware,88840.2048,27.43,1.8088125774699235,0.7040974177938202,1.2468181818181818,9.259952363091205
qsort_large_O3,126176.0128,22.0,0.7765520454545455,117756.688,23.16,0.7376573834196891,0.9332731744079965,1.0527272727272727,0.9499136442141624,1_uarchaware,88873.9872,27.2,18.133774595588235,0.7043651580659237,1.2363636363636363,23.351653893299382
qsort_small_O3,126176.0128,22.0,1.3526865454545454,89361.9552,27.76,1.072013832853026,0.7082325175518622,1.261818181818182,0.7925072046109511,15_uarchaware,86786.9856,28.11,1.0586662753468516,0.6878247590337552,1.2777272727272726,0.7826397615207346
rijndael_Oz,126176.0128,22.0,31.21829527272727,117843.0208,20.84,32.955973896353164,0.9339573995478164,0.9472727272727273,1.055662188099808,3_uarchaware,107783.3728,22.8,30.129376754385966,0.8542302962992344,1.0363636363636364,0.9651192190723944
sha_O3,126176.0128,22.0,0.5955254090909091,89365.7088,27.38,0.4785083637691746,0.7082622664709849,1.2445454545454544,0.8035062089116143,24_uarchaware,86965.9072,28.18,0.4649240241305891,0.689242790845266,1.280909090909091,0.7806955287437899
tarfind,126176.0128,22.0,0.04110618181818182,111237.936,21.93,0.04123739170086639,0.8816092181984055,0.9968181818181818,1.0031919744642042,1_uarchaware,89398.24,26.94,4.972141499628805,0.7085200904367142,1.2245454545454546,120.95848555385797
