application_name,original_area,original_freq,original_latency,original_cycles,minA_1.2x_variant,minA_1.2x_area_norm,minA_1.2x_cycle_norm,minA_1.2x_freq,minA_1.2x_freq_norm,minA_1.2x_latency_norm,minA_1.2x_power_norm,minA_1.2x_power_iso_norm,minA_1.2x_energy_norm,minE_1.2x_variant,minE_1.2x_area_norm,minE_1.2x_cycle_norm,minE_1.2x_freq,minE_1.2x_freq_norm,minE_1.2x_latency_norm,minE_1.2x_power_norm,minE_1.2x_power_iso_norm,minE_1.2x_energy_norm,minA_unconstrained_variant,minA_unconstrained_area_norm,minA_unconstrained_cycle_norm,minA_unconstrained_freq,minA_unconstrained_freq_norm,minA_unconstrained_latency_norm,minA_unconstrained_power_norm,minA_unconstrained_power_iso_norm,minA_unconstrained_energy_norm,minE_unconstrained_variant,minE_unconstrained_area_norm,minE_unconstrained_cycle_norm,minE_unconstrained_freq,minE_unconstrained_freq_norm,minE_unconstrained_latency_norm,minE_unconstrained_power_norm,minE_unconstrained_power_iso_norm,minE_unconstrained_energy_norm
basicmath_small_O3,,,,,10_uarchaware,0.9705810621303579,1.0000001055398975,,0.9521287862740945,1.0502781976093116,0.9306361993762468,0.9774268069533395,0.9774269101108645,10_uarchaware,0.9705810621303579,1.0000001055398975,,0.9521287862740945,1.0502781976093116,0.9306361993762468,0.9774268069533395,0.9774269101108645,0_baseline,0.7046917870861532,74.28312117043535,,1.311162889218386,56.654380459713295,1.0199869604052516,0.7779254345837145,57.78672931874564,10_uarchaware,0.9705810621303579,1.0000001055398975,,0.9521287862740945,1.0502781976093116,0.9306361993762468,0.9774268069533395,0.9774269101108645
bitcnts_O3,,,,,12_uarchaware,0.7806024772344741,1.0004585126289955,,1.4851851851851852,0.6736254324434633,1.2419316775202094,0.836213348953757,0.8365967633347868,12_uarchaware,0.7806024772344741,1.0004585126289955,,1.4851851851851852,0.6736254324434633,1.2419316775202094,0.836213348953757,0.8365967633347868,12_uarchaware,0.7806024772344741,1.0004585126289955,,1.4851851851851852,0.6736254324434633,1.2419316775202094,0.836213348953757,0.8365967633347868,12_uarchaware,0.7806024772344741,1.0004585126289955,,1.4851851851851852,0.6736254324434633,1.2419316775202094,0.836213348953757,0.8365967633347868
combined,,,,,6_uarchaware,0.9153294639808809,1.1876812229178189,,0.9185154468173337,1.2930443652669616,0.8703433334857472,0.9475543786459951,1.1253925432114096,14_uarchaware,0.9742964444227674,1.0000019723026718,,0.9585320340037321,1.0432640087423288,0.9362456478212705,0.9767494612680051,0.9767513877135773,0_baseline,0.7614926270952218,7.240947764690767,,1.33589052456977,5.420315236551849,1.1265423142174122,0.8432893964722301,6.10621447037302,14_uarchaware,0.9742964444227674,1.0000019723026718,,0.9585320340037321,1.0432640087423288,0.9362456478212705,0.9767494612680051,0.9767513877135773
dijkstra_small_O3,,,,,6_uarchaware,0.9196935534306545,1.0483410339787982,,1.1516331386545535,0.9103081517813643,1.1090740025591175,0.9630445367826445,1.0095991054583502,16_uarchaware,0.9784565757640592,1.0,,1.0346095608911963,0.9665481915116035,1.0218743065004943,0.9876907629002267,0.9876907629002268,0_baseline,0.76367077566202,2.5025874209823615,,1.3705386112913693,1.8259882650254824,1.1842670170726557,0.8640887657712889,2.162457675831402,16_uarchaware,0.9784565757640592,1.0,,1.0346095608911963,0.9665481915116035,1.0218743065004943,0.9876907629002267,0.9876907629002268
libedn,,,,,19_uarchaware,0.988421597801947,1.0000001597544892,,1.0589289715438046,0.9443505528955323,1.0397719911726013,0.9819090978847482,0.9819092547491346,19_uarchaware,0.988421597801947,1.0000001597544892,,1.0589289715438046,0.9443505528955323,1.0397719911726013,0.9819090978847482,0.9819092547491346,0_baseline,0.8204259166600831,24.850263395214235,,1.2652924042124132,19.639937229120086,1.1310866832868063,0.8939330383405377,22.214471460446507,19_uarchaware,0.988421597801947,1.0000001597544892,,1.0589289715438046,0.9443505528955323,1.0397719911726013,0.9819090978847482,0.9819092547491346
libhuffbench,,,,,21_uarchaware,0.9988242028559493,1.0000043024915442,,1.0613915416098227,0.9421634366661977,1.0593235319707583,0.998051605314352,0.9980558994229445,21_uarchaware,0.9988242028559493,1.0000043024915442,,1.0613915416098227,0.9421634366661977,1.0593235319707583,0.998051605314352,0.9980558994229445,21_uarchaware,0.9988242028559493,1.0000043024915442,,1.0613915416098227,0.9421634366661977,1.0593235319707583,0.998051605314352,0.9980558994229445,21_uarchaware,0.9988242028559493,1.0000043024915442,,1.0613915416098227,0.9421634366661977,1.0593235319707583,0.998051605314352,0.9980558994229445
libnsichneu,,,,,26_uarchaware,0.9665484165389451,1.0,,0.9460358796296295,1.0570423612173117,0.899459956659735,0.950767276408027,0.950767276408027,26_uarchaware,0.9665484165389451,1.0,,0.9460358796296295,1.0570423612173117,0.899459956659735,0.950767276408027,0.950767276408027,26_uarchaware,0.9665484165389451,1.0,,0.9460358796296295,1.0570423612173117,0.899459956659735,0.950767276408027,0.950767276408027,26_uarchaware,0.9665484165389451,1.0,,0.9460358796296295,1.0570423612173117,0.899459956659735,0.950767276408027,0.950767276408027
libslre,,,,,26_uarchaware,0.9747688261514644,1.0,,0.99048194591328,1.0096095179987796,0.9592720673032623,0.9684902094997396,0.9684902094997395,26_uarchaware,0.9747688261514644,1.0,,0.99048194591328,1.0096095179987796,0.9592720673032623,0.9684902094997396,0.9684902094997395,26_uarchaware,0.9747688261514644,1.0,,0.99048194591328,1.0096095179987796,0.9592720673032623,0.9684902094997396,0.9684902094997395,26_uarchaware,0.9747688261514644,1.0,,0.99048194591328,1.0096095179987796,0.9592720673032623,0.9684902094997396,0.9684902094997395
libstatemate,,,,,1_baseline,0.9695623952718202,1.0196076557409746,,1.0780725319006044,0.945769069863455,1.0514492610938955,0.9753047498949138,0.9944281896733905,22_baseline,0.9740974529465044,1.0,,1.0997313633310946,0.9093129770992368,1.0716518999855682,0.9744669795899304,0.9744669795899306,1_baseline,0.9695623952718202,1.0196076557409746,,1.0780725319006044,0.945769069863455,1.0514492610938955,0.9753047498949138,0.9944281896733905,22_baseline,0.9740974529465044,1.0,,1.0997313633310946,0.9093129770992368,1.0716518999855682,0.9744669795899304,0.9744669795899306
libud,,,,,5_baseline,0.9992207362861394,1.0027994238181213,,0.9837587006960556,1.019355074683043,0.9971652184977514,1.0136278518220068,1.0164654257731083,19_baseline,1.004116716387365,1.0000041306052312,,1.0234338747099767,0.9771067338264672,1.0460638184308715,1.02211177906077,1.0221160010010315,0_baseline,0.7274592067252821,4.26564673261616,,1.594663573085847,2.674950882813276,1.2391747878864157,0.7770759982235489,3.314731692816722,19_baseline,1.004116716387365,1.0000041306052312,,1.0234338747099767,0.9771067338264672,1.0460638184308715,1.02211177906077,1.0221160010010315
